alpha,chi,state,omega_real_M,gamma_M,separation_real,separation_imag,bilinear_norm_real,bilinear_norm_imag,r_99_M,cf_residual,radial_residual,angular_residual,converged,message
0.4,0.684926173634467,30+0,0.392626605165364,-0.004986060186251903,0.0009177331096792095,0.0006121068149737385,1.0000000000010605,7.563394355258879e-16,71.15109385735173,5.6502331338020955e-15,1.2759328979077592e-12,4.5720077178545866e-17,True,ok
0.4,0.49569765486450124,43+3,0.3979386728116051,-1.2512321763404146e-18,12.000044906177504,2.718767777502034e-20,0.9999999999999998,2.484789401423338e-16,210.6699035752219,3.8794357893767176e-12,2.9774371717360734e-13,8.008801537778722e-17,True,ok
0.4,0.49569765486450124,43+1,0.3979352943977315,-5.49038949493403e-15,12.000188915170709,5.010570168675046e-16,0.9999999999999998,-3.4347561394807216e-14,210.31176301858952,9.234634098330887e-13,1.2477361486396771e-12,7.491044108097558e-17,True,ok
0.4,0.49569765486450124,43+3,0.3979386728116051,-1.2512321763404146e-18,12.000044906177504,2.718767777502034e-20,0.9999999999999998,2.484789401423338e-16,210.6699035752219,3.8794357893767176e-12,2.9774371717360734e-13,8.008801537778722e-17,True,ok
0.4,0.49569765486450124,41+1,0.3976342232616022,-3.204980943404451e-05,2.000092733552106,1.2525461080732114e-06,0.9999999999995337,7.837045967154684e-13,221.6145192778259,1.1945399746287406e-15,1.2426536967223534e-12,8.799147967945478e-17,True,ok
0.42499999999999993,0.982148905124792,21+1,0.41332576814455807,-1.0846109439598345e-17,2.001887696189851,1.728994979336281e-18,0.9999999999999998,1.701723154605111e-16,53.302231894884116,6.337228822060307e-15,1.431714954972285e-11,8.264350244720135e-17,True,ok
0.42499999999999993,0.982148905124792,21-1,0.41174405558110855,-0.0027891116692311583,2.0021408721965064,0.00044288949057799947,1.0000000000000007,5.074066167232161e-16,47.49181794948923,1.338652399417759e-15,8.795748803270369e-10,8.485777242979735e-17,True,ok
0.42499999999999993,0.7145703718844824,32+2,0.42044345145666245,2.8122710909211108e-18,6.000280996502159,-1.7248983084024682e-19,1.0000000000000004,1.4396403027571767e-16,113.10658835435527,2.0033959990383362e-13,4.656619680933087e-13,8.128394576714622e-17,True,ok
0.42499999999999993,0.7145703718844824,32+0,0.4203869913599481,-1.8074416014034946e-08,6.0010430856846195,4.0648118519575534e-09,0.9999999999999994,8.490336655454946e-17,111.73268739364644,5.548220204935252e-15,1.4456280098771626e-12,4.901219506098125e-17,True,ok
0.42499999999999993,0.7145703718844824,32+2,0.42044345145666245,2.8122710909211108e-18,6.000280996502159,-1.7248983084024682e-19,1.0000000000000004,1.4396403027571767e-16,113.10658835435527,2.0033959990383362e-13,4.656619680933087e-13,8.128394576714622e-17,True,ok
0.42499999999999993,0.7145703718844824,30+0,0.4166366384893285,-0.006207033023506588,0.0012045154271004702,0.000880036642695627,1.0000000000000016,4.163336342344337e-16,64.24808224996748,2.523579309267781e-14,1.3549270503297335e-12,7.286147014343192e-17,True,ok
0.42499999999999993,0.5228851362802492,43+3,0.42341090998215714,2.1654563138395744e-20,12.000040956552269,-5.570685950176025e-22,0.9999999999999949,2.500284804208199e-15,302.42693039208666,7.244669983071807e-13,3.45647930030698e-13,8.008799951030545e-17,True,ok
0.42499999999999993,0.5228851362802492,43+1,0.4225129673574274,-2.006404273926024e-14,12.000268935382124,2.1632629900812513e-15,0.9999999999999999,-1.4592812824992e-13,185.45863147825318,5.691234075125129e-13,7.674005100869566e-13,7.388247813825415e-17,True,ok
0.42499999999999993,0.5228851362802492,43+3,0.42341090998215714,2.1654563138395744e-20,12.000040956552269,-5.570685950176025e-22,0.9999999999999949,2.500284804208199e-15,302.42693039208666,7.244669983071807e-13,3.45647930030698e-13,8.008799951030545e-17,True,ok
