alpha,chi,q,status,residual,discriminant_normalized,omega_res_M,radius_M,radius_over_cloud,eta_M,delta_gamma_M,analytic_q
0.06716163415705019,0.7942277777777778,0.917120389025515,physical_root,1.9256262002138759e-16,1.6699510732098495e-16,6.074231708098327e-09,373154.6796036352,420.7958135676384,5.243707000718752e-13,1.0487414001437505e-12,0.9171203890255153
0.06716163415705019,0.7992222222222222,0.9044647485180781,physical_root,0.0,0.0,6.112429078748927e-09,370778.967450226,418.1167912129992,5.271389633093155e-13,1.054277926618631e-12,0.9044647485180786
0.06716163415705019,0.8042166666666667,0.8921067688634535,physical_root,1.9055561909900908e-16,1.635322055335072e-16,6.1506264493995264e-09,368441.8707866149,415.48131443700095,5.298935625499726e-13,1.059787125099945e-12,0.8921067688634536
0.06716163415705019,0.8092111111111111,0.8800351024504035,physical_root,0.0,0.0,6.188823820050126e-09,366142.30081999785,412.88815543927336,5.326341670668905e-13,1.065268334133781e-12,0.8800351024504032
0.06716163415705019,0.8142055555555555,0.8682389181927143,physical_root,1.886097487975854e-16,2.4031412981300964e-16,6.227021190700726e-09,363879.20946000086,410.33613231840735,5.353604281433738e-13,1.0707208562867477e-12,0.8682389181927149
0.06716163415705019,0.8192,0.8567078679458939,physical_root,1.8765927255548338e-16,1.5859877607899157e-16,6.265218561351326e-09,361651.5870950271,407.8241065644056,5.380719774368489e-13,1.0761439548736976e-12,0.8567078679458939
0.06716163415705019,0.8241944444444445,0.8454320549410863,physical_root,1.8672354222912785e-16,2.355316034431318e-16,6.303415932001926e-09,359458.4604848109,405.35098068217616,5.407684251425801e-13,1.08153685028516e-12,0.8454320549410864
0.06716163415705019,0.8291888888888889,0.8344020040169745,physical_root,0.0,0.0,6.341613302652525e-09,357298.8907573241,402.9156959327015,5.434493579261887e-13,1.0868987158523774e-12,0.8344020040169745
0.06716163415705019,0.8341833333333333,0.8236086334401721,physical_root,1.848957060881179e-16,2.3094293694750655e-16,6.3798106733031245e-09,355171.9714985293,400.51723017890765,5.461143365880389e-13,1.0922286731760776e-12,0.8236086334401721
0.06716163415705019,0.8391777777777778,0.8130432281109472,physical_root,1.8400332289207314e-16,1.5247937614496741e-16,6.418008043953725e-09,353076.8269236411,398.15459582344846,5.487628934153312e-13,1.0975257868306625e-12,0.8130432281109471
0.06716163415705019,0.8441722222222222,0.8026974139539134,physical_root,0.0,0.0,6.456205414604325e-09,351012.6101185299,395.8268378255871,5.513945291688527e-13,1.1027890583377054e-12,0.8026974139539134
