x,omega_M,population_211,population_21m1,norm
-10145.082188820195,8.011551871844515e-08,0.9999639956976697,1.617324929090237e-05,0.9999801689469606
-10145.082177862458,8.011551872102064e-08,0.9999673677445083,1.2765449377028158e-05,0.9999801331938853
-10145.08216839123,8.011551872324673e-08,0.9999699987222025,1.011004694089607e-05,0.9999801087691433
-10145.082159911011,8.01155187252399e-08,0.9999721051444957,7.986328279238846e-06,0.999980091472775
-10145.082151430792,8.011551872723308e-08,0.9999739560026816,6.121997090145138e-06,0.9999800779997717
-10145.082142950572,8.011551872922625e-08,0.9999755344351656,4.533401921549516e-06,0.9999800678370871
-10145.082134470353,8.011551873121943e-08,0.9999768261090287,3.2343337508676878e-06,0.9999800604427795
-10145.082125990133,8.011551873321262e-08,0.9999778193465285,2.2359045047886947e-06,0.9999800552510333
-10145.082119205957,8.011551873480716e-08,0.9999783929729532,1.659318258646298e-06,0.9999800522912119
-10145.082110725738,8.011551873680033e-08,0.9999788284472437,1.221134899447803e-06,0.9999800495821431
-10145.082102245518,8.01155187387935e-08,0.9999789476827102,1.0997267294314291e-06,0.9999800474094397
-10145.082093765299,8.011551874078668e-08,0.9999787498017935,1.2953636419195782e-06,0.9999800451654354
-10145.08208528508,8.011551874277985e-08,0.9999782368345413,1.80541019237886e-06,0.9999800422447337
-10145.08207680486,8.011551874477303e-08,0.9999774136944399,2.624355309027284e-06,0.999980038049749
-10145.08206832464,8.01155187467662e-08,0.9999762881278693,3.7438682976620536e-06,0.999980031996167
-10145.08205984442,8.011551874875938e-08,0.999974870637696,5.152880577170487e-06,0.9999800235182731
-10145.082051364201,8.011551875075255e-08,0.9999731743817528,6.837692347479663e-06,0.9999800120741003
-10145.082042883982,8.011551875274573e-08,0.999971215047183,8.782103164757542e-06,0.9999799971503478
-10145.082034403762,8.01155187547389e-08,0.9999690107018487,1.0967565181564308e-05,0.9999799782670303
-10145.082025923542,8.011551875673207e-08,0.9999665816242077,1.3373357604338147e-05,0.999979954981812
-10145.082017443323,8.011551875872525e-08,0.999963950113257,1.5976780728943596e-05,0.999979926893986
-10145.082008963103,8.011551876071842e-08,0.9999611402803269,1.875336773874298e-05,0.9999798936480656
-10145.082000482884,8.01155187627116e-08,0.9999581778246656,2.167711229035806e-05,0.999979854936956
-10145.081992002664,8.011551876470477e-08,0.9999550897949017,2.472070977139723e-05,0.9999798105046731
-10145.081983522445,8.011551876669795e-08,0.9999519043385984,2.7855809993189106e-05,0.9999797601485916
-10145.081975042225,8.011551876869112e-08,0.9999486504422174,3.105327898105936e-05,0.9999797037211984
-10145.081966562006,8.01155187706843e-08,0.9999453576638927,3.4283467445795955e-05,0.9999796411313385
-10145.081958081786,8.011551877267748e-08,0.9999420558614772,3.751648346334939e-05,0.9999795723449406
-10145.081949601567,8.011551877467066e-08,0.9999387749183644,4.072246685598568e-05,0.9999794973852203
-10145.081941121347,8.011551877666383e-08,0.9999355444695992,4.387186275731704e-05,0.9999794163323565
-10145.081932641127,8.0115518778657e-08,0.9999323936307903,4.693569185593245e-05,0.9999793293226463
-10145.081924160908,8.011551878065018e-08,0.9999293507323005,4.9885814847582476e-05,0.999979236547148
-10145.081915680688,8.011551878264335e-08,0.9999264430611418,5.26951886836705e-05,0.9999791382498254
-10145.081908896513,8.01155187842379e-08,0.9999242318064255,5.482402612304541e-05,0.9999790558325485
-10145.081900416293,8.011551878623107e-08,0.9999216320347267,5.7316335640049253e-05,0.9999789483703668
-10145.081891936074,8.011551878822424e-08,0.9999192362804246,5.9600048847936016e-05,0.9999788363292725
-10145.081883455854,8.011551879021742e-08,0.9999170657164549,6.165441269130266e-05,0.9999787201291462
-10145.081874975634,8.011551879221059e-08,0.9999151394116713,6.346081593606217e-05,0.9999786002276074
-10145.081866495415,8.011551879420377e-08,0.9999134741601338,6.500295561464877e-05,0.9999784771157484
